Station,Capacity,Flow,TravelTime,TravelerCost
1,18.0,18.006409396882944,5.007121552092162,2.503560776046081
2,7.0,6.647819959637028,7.0,3.5
3,29.0,29.071171014236157,4.0490834580939,2.02454172904695
4,46.0,46.274599629243866,3.1193911431495067,1.5596955715747534
