Station,Price,Capacity,Flow,Travel Time,Cost
1,3.864407856387993,20,25.360679205456993,5.026803396027285,8.891211252415278
2,3.3450537857322957,5,5.886239360427935,7.017724787208559,10.362778572940854
3,4.622283590822431,20,31.334581871610357,4.056672909358052,8.678956500180483
4,5.414072707578984,20,37.418499562504735,3.087092497812524,8.501165205391509
